time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.976562,-1.846313,-1.846313,-1.379697,-1.556826,-2.951573,-1.846313
0.984375,-1.794833,-1.794833,-1.358073,-1.505761,-2.975748,-1.794833
0.992188,-1.846431,-1.846431,-1.379810,-1.557066,-2.951598,-1.846431
1.000000,-1.794789,-1.794789,-1.357961,-1.505521,-2.975733,-1.794789
1.007812,-1.846550,-1.846550,-1.379925,-1.557309,-2.951618,-1.846550
1.015625,-1.794744,-1.794744,-1.357845,-1.505273,-2.975720,-1.794744
1.023438,-1.846669,-1.846669,-1.380042,-1.557559,-2.951638,-1.846669
1.031250,-1.794699,-1.794699,-1.357727,-1.505021,-2.975714,-1.794699
1.039062,-1.846788,-1.846788,-1.380162,-1.557814,-2.951651,-1.846788
1.046875,-1.794653,-1.794653,-1.357605,-1.504763,-2.975707,-1.794653
1.054688,-1.846906,-1.846906,-1.380285,-1.558074,-2.951659,-1.846906
1.062500,-1.794606,-1.794606,-1.357479,-1.504500,-2.975705,-1.794606
1.070312,-1.847026,-1.847026,-1.380410,-1.558341,-2.951669,-1.847026
1.078125,-1.794559,-1.794559,-1.357354,-1.504230,-2.975707,-1.794559
1.085938,-1.847146,-1.847146,-1.380539,-1.558614,-2.951670,-1.847146
1.093750,-1.794511,-1.794511,-1.357223,-1.503955,-2.975711,-1.794511
1.101562,-1.847265,-1.847265,-1.380672,-1.558894,-2.951671,-1.847265
1.109375,-1.794464,-1.794464,-1.357089,-1.503672,-2.975718,-1.794464
1.117188,-1.847386,-1.847386,-1.380807,-1.559179,-2.951667,-1.847386
1.125000,-1.794415,-1.794415,-1.356952,-1.503384,-2.975729,-1.794415
1.132812,-1.847505,-1.847505,-1.380945,-1.559469,-2.951660,-1.847505
1.140625,-1.794366,-1.794366,-1.356812,-1.503088,-2.975742,-1.794366
1.148438,-1.847625,-1.847625,-1.381088,-1.559770,-2.951647,-1.847625
1.156250,-1.794317,-1.794317,-1.356671,-1.502784,-2.975761,-1.794317
1.164062,-1.847747,-1.847747,-1.381234,-1.560076,-2.951634,-1.847747
1.171875,-1.794266,-1.794266,-1.356522,-1.502474,-2.975780,-1.794266
1.179688,-1.847868,-1.847868,-1.381382,-1.560391,-2.951616,-1.847868
1.187500,-1.794217,-1.794217,-1.356373,-1.502157,-2.975807,-1.794217
1.195312,-1.847988,-1.847988,-1.381533,-1.560714,-2.951594,-1.847988
1.203125,-1.794166,-1.794166,-1.356219,-1.501830,-2.975833,-1.794166
1.210938,-1.848110,-1.848110,-1.381690,-1.561043,-2.951568,-1.848110
1.218750,-1.794116,-1.794116,-1.356060,-1.501496,-2.975867,-1.794116
1.226562,-1.848232,-1.848232,-1.381849,-1.561382,-2.951537,-1.848232
1.234375,-1.794066,-1.794066,-1.355898,-1.501153,-2.975901,-1.794066
1.242188,-1.848352,-1.848352,-1.382014,-1.561729,-2.951504,-1.848352
1.250000,-1.794015,-1.794015,-1.355732,-1.500800,-2.975941,-1.794015
1.257812,-1.848474,-1.848474,-1.382182,-1.562086,-2.951467,-1.848474
1.265625,-1.793964,-1.793964,-1.355562,-1.500439,-2.975985,-1.793964
1.273438,-1.848596,-1.848596,-1.382354,-1.562453,-2.951425,-1.848596
1.281250,-1.793913,-1.793913,-1.355388,-1.500066,-2.976032,-1.793913
1.289062,-1.848717,-1.848717,-1.382530,-1.562831,-2.951376,-1.848717
1.296875,-1.793863,-1.793863,-1.355209,-1.499685,-2.976085,-1.793863
1.304688,-1.848840,-1.848840,-1.382712,-1.563217,-2.951325,-1.848840
1.312500,-1.793813,-1.793813,-1.355024,-1.499292,-2.976141,-1.793813
1.320312,-1.848961,-1.848961,-1.382899,-1.563615,-2.951269,-1.848961
1.328125,-1.793762,-1.793762,-1.354836,-1.498889,-2.976202,-1.793762
